company_name,ticker,exchanges,cik,erp_vendors,filing_count,sic_description,sic,category,address_city,address_state,address_zip,phone,website,keywords_found,filing_type,filed_date,biz_location,biz_state,inc_state,all_tickers,fiscal_year_end,address_street
BOX INC,BOX,"NYSE,OTC",1372612,Salesforce,26,Services-Prepackaged Software,7372,Large accelerated filer,REDWOOD CITY,CA,94063,877-729-4269,,"""Slack"" AND ""Salesforce""",10-K,2026-03-09,"Redwood City, CA",CA,DE,"BOX,BXCAP",0131,900 JEFFERSON AVE
"DROPBOX, INC.",DBX,Nasdaq,1467623,Salesforce,26,Services-Prepackaged Software,7372,Large accelerated filer,SAN FRANCISCO,CA,94158,415-986-7057,,"""Slack"" AND ""Salesforce""",10-K,2026-02-20,"San Francisco, CA",CA,DE,DBX,1231,"1800 OWENS STREET, SUITE 200"
EPLUS INC,PLUS,Nasdaq,1022408,Salesforce,22,Wholesale-Computers & Peripheral Equipment & Software,5045,Large accelerated filer,HERNDON,VA,20171-3413,7039848400,,"""Service Cloud""",10-Q,2026-02-04,"Herndon, VA",VA,DE,PLUS,0331,13595 DULLES TECHNOLOGY DRIVE
"Trade Desk, Inc.",TTD,Nasdaq,1671933,Salesforce,22,"Services-Computer Programming, Data Processing, Etc.",7370,Large accelerated filer,VENTURA,CA,93001,(805) 585-3434,,"""Service Cloud""",10-K,2025-08-07,"Ventura, CA",CA,NV,TTD,1231,42 N. CHESTNUT STREET
Informatica Inc.,INFA,NYSE,1868778,Oracle,20,Services-Prepackaged Software,7372,Large accelerated filer,REDWOOD CITY,CA,94063,650-385-5000,,"""Oracle Cloud""",10-K,2025-05-08,"Redwood City, CA",CA,,INFA,1231,2100 SEAPORT BLVD.
FULLER H B CO,FUL,NYSE,39368,SAP,17,Adhesives & Sealants,2891,Large accelerated filer,ST PAUL,MN,55110-5132,6126453401,,"""SAP S/4HANA"" | ""SAP implementation""",10-K,2026-03-26,"St Paul, MN",MN,MN,FUL,1128,1200 WILLOW LAKE BLVD
VEEVA SYSTEMS INC,VEEV,NYSE,1393052,Salesforce,16,Services-Prepackaged Software,7372,Large accelerated filer,PLEASANTON,CA,94588,925-452-6500,,"""Salesforce platform"" | ""Sales Cloud"" | ""Service Cloud""",10-Q,2026-03-20,"Pleasanton, CA",CA,DE,VEEV,0131,4280 HACIENDA DRIVE
NOW Inc.,DNOW,NYSE,1599617,SAP,15,Oil & Gas Field Machinery & Equipment,3533,Large accelerated filer,HOUSTON,TX,77041,281-823-4700,,"""SAP ERP"" | ""SAP enterprise""",10-K,2025-11-05,"Houston, TX",TX,DE,DNOW,1231,7402 NORTH ELDRIDGE PARKWAY
VARONIS SYSTEMS INC,VRNS,Nasdaq,1361113,Salesforce,14,Services-Prepackaged Software,7372,Large accelerated filer,MIAMI,FL,33131,877-292-8767,,"""Slack"" AND ""Salesforce""",10-K,2026-02-04,"New York, NY",NY,DE,VRNS,1231,801 BRICKELL AVENUE
"BLACKLINE, INC.",BL,Nasdaq,1666134,SAP,13,Services-Prepackaged Software,7372,Large accelerated filer,WOODLAND HILLS,CA,91367,818-223-9008,,"""SAP ERP""",10-K,2026-02-26,"Woodland Hills, CA",CA,DE,BL,1231,21300 VICTORY BOULEVARD
OPEN TEXT CORP,OTEX,Nasdaq,1002638,SAP | Salesforce,13,Services-Computer Integrated Systems Design,7373,Large accelerated filer,ONTARIO CANADA,A6,N2L 0A1,519-888-7111,,"""SAP S/4HANA"" | ""SAP SuccessFactors"" | ""Sales Cloud"" | ""Service Cloud""",10-K,2025-11-05,"Ontario Canada, A6",A6,A6,OTEX,0630,275 FRANK TOMPA DRIVE
CAMPBELL'S Co,CPB,Nasdaq,16732,SAP,13,Food and Kindred Products,2000,Large accelerated filer,CAMDEN,NJ,08103,8563424800,,"""SAP enterprise""",10-Q,2026-03-11,"Camden, NJ",NJ,NJ,CPB,0803,CAMPBELL PL
Huron Consulting Group Inc.,HURN,Nasdaq,1289848,SAP,13,Services-Management Consulting Services,8742,Large accelerated filer,CHICAGO,IL,60607,(312) 583-8700,,"""SAP Concur""",10-Q,2026-02-24,"Chicago, IL",IL,DE,HURN,1231,550 WEST VAN BUREN STREET
"e.l.f. Beauty, Inc.",ELF,NYSE,1600033,SAP,12,"Perfumes, Cosmetics & Other Toilet Preparations",2844,Large accelerated filer,OAKLAND,CA,,(510) 778-7787,,"""SAP software"" | ""SAP implementation""",10-Q,2026-02-05,"Oakland, CA",CA,DE,ELF,0331,601 12TH STREET
"RingCentral, Inc.",RNG,NYSE,1384905,Salesforce,12,Services-Computer Processing & Data Preparation,7374,Large accelerated filer,BELMONT,CA,94002,650-472-4100,,"""Salesforce CRM"" | ""Slack"" AND ""Salesforce""",10-K,2026-02-27,"Belmont, CA",CA,,RNG,1231,20 DAVIS DRIVE
"nCino, Inc.",NCNO,Nasdaq,1902733,Salesforce,12,Services-Prepackaged Software,7372,Large accelerated filer,WILMINGTON,NC,28405,910-275-5491,,"""Salesforce platform""",10-K,2025-12-03,"Wilmington, NC",NC,DE,NCNO,0131,6770 PARKER FARM DRIVE
ANSYS INC,ANSS,,1013462,Salesforce,12,Services-Prepackaged Software,7372,Large accelerated filer,CANONSBURG,PA,15317,8444626797,,"""Service Cloud""",10-Q,2024-11-06,"Canonsburg, PA",PA,DE,,1231,"2600 ANSYS DRIVE, SOUTHPOINTE"
HORMEL FOODS CORP /DE/,HRL,NYSE,48465,Oracle,12,Meat Packing Plants,2011,Large accelerated filer,AUSTIN,MN,55912-3680,(507) 437-5611,,"""Oracle Cloud""",10-Q,2026-02-26,"Austin, MN",MN,DE,HRL,1025,1 HORMEL PL
LANCASTER COLONY CORP,LANC,Nasdaq,57515,SAP,11,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",2030,Large accelerated filer,WESTERVILLE,OH,43082,6142247141,,"""SAP S/4HANA""",10-Q,2025-08-21,"Westerville, OH",OH,OH,MZTI,0630,380 POLARIS PARKWAY
"Confluent, Inc.",CFLT,Nasdaq,1699838,Salesforce | Oracle,11,Services-Prepackaged Software,7372,Large accelerated filer,MOUNTAIN VIEW,CA,94041,800-439-3207,,"""MuleSoft"" | ""Oracle Cloud""",10-K/A,2026-02-26,"Mountain View, CA",CA,DE,CFLT,1231,899 W. EVELYN AVENUE
Atlas Lithium Corp,ATLX,Nasdaq,1540684,SAP,10,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),1400,Non-accelerated filer<br>Smaller reporting company,BOCA RATON,FL,33432,(833) 661-7900,,"""SAP enterprise"" | ""SAP implementation""",10-Q,2025-11-13,"Boca Raton, FL",FL,NV,ATLX,1231,1200 N FEDERAL HWY
"PANACEA LIFE SCIENCES HOLDINGS, INC.",PLSH,OTC,1552189,SAP,9,Medicinal Chemicals & Botanical Products,2833,<br>Emerging growth company,GREENWOOD VILLAGE,CO,80121,561-455-4822,,"""SAP ERP"" | ""SAP system"" | ""SAP software""",10-K,2024-05-06,"Greenwood Village, CO",CO,NV,PLSH,1231,5910 SOUTH UNIVERSITY BLVD
Cenntro Inc.,CENN,Nasdaq,1707919,SAP,9,Motor Vehicles & Passenger Car Bodies,3711,Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company,FREEHOLD,NJ,07728,(732) 820-6757,,"""SAP S/4HANA"" | ""SAP HANA""",10-Q,2025-11-12,"Freehold, NJ",NJ,NV,CENN,1231,501 OKERSON ROAD
WillScot Holdings Corp,WSC,Nasdaq,1647088,SAP,8,Services-Miscellaneous Equipment Rental & Leasing,7350,Large accelerated filer,SCOTTSDALE,AZ,85257,480-894-6311,,"""SAP ERP"" | ""SAP enterprise""",10-K,2026-02-19,"Scottsdale, AZ",AZ,DE,WSC,1231,6400 EAST MCDOWELL ROAD
Palisades Venture Inc.,,,2010982,Salesforce,8,Services-Computer Processing & Data Preparation,7374,Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company,WOODLAND HILLS,CA,91367,818-465-1295,,"""Service Cloud""",10-Q,2026-03-18,"Woodland Hills, CA",CA,WY,,1231,21200 OXNARD ST. #6630
NABORS INDUSTRIES LTD,NBR,"NYSE,OTC",1163739,Salesforce,8,Drilling Oil & Gas Wells,1381,Accelerated filer,"HAMILTON, HM08",D0,0000,4412921510,,"""Service Cloud""",10-K,2026-02-13,"Hamilton, Hm08, D0",D0,D0,"NBR,NBRWF",1231,CROWN HOUSE
"Klaviyo, Inc.",KVYO,NYSE,1835830,Salesforce,8,Services-Prepackaged Software,7372,Large accelerated filer,BOSTON,MA,02110,800-338-1744,,"""Salesforce Commerce Cloud""",10-K,2026-02-10,"Boston, MA",MA,DE,KVYO,1231,"125 SUMMER STREET, FLOOR 6"
FLANIGANS ENTERPRISES INC,BDL,NYSE,12040,Oracle,8,Retail-Eating  Places,5812,Non-accelerated filer<br>Smaller reporting company,FORT LAUDERDALE,FL,33334,954-377-1961,,"""Oracle ERP""",10-Q,2026-02-10,"Fort Lauderdale, FL",FL,FL,BDL,0927,5059 N.E. 18TH AVENUE
MariaDB plc,MRDB,,1929589,Oracle,8,Services-Prepackaged Software,7372,<br>Emerging growth company,REDWOOD CITY,CA,94063,18555627423,,"""Oracle Cloud""",10-K,2023-12-29,"Redwood City, CA",CA,L2,,0930,699 VETERANS BLVD
INNODATA INC,INOD,Nasdaq,903651,Oracle,8,Services-Computer Processing & Data Preparation,7374,Non-accelerated filer<br>Smaller reporting company,RIDGEFIELD PARK,NJ,07660,201 371 8000,,"""Oracle Cloud""",10-K,2026-02-26,"Ridgefield Park, NJ",NJ,DE,INOD,1231,55 CHALLENGER ROAD
CINTAS CORP,CTAS,Nasdaq,723254,SAP,7,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",2320,Large accelerated filer,CINCINNATI,OH,45262,5134591200,,"""SAP enterprise"" | ""SAP implementation""",10-K,2025-07-28,"Cincinnati, OH",OH,WA,CTAS,0531,6800 CINTAS BLVD
SPS COMMERCE INC,SPSC,Nasdaq,1092699,SAP | Salesforce,7,Services-Prepackaged Software,7372,Large accelerated filer,MINNEAPOLIS,MN,55402,612-435-9400,,"""SAP Business One"" | ""Service Cloud""",10-Q,2026-02-19,"Minneapolis, MN",MN,DE,SPSC,1231,333 SOUTH SEVENTH STREET
"SCANSOURCE, INC.",SCSC,Nasdaq,918965,Salesforce,7,Wholesale-Computers & Peripheral Equipment & Software,5045,Large accelerated filer,GREENVILLE,SC,29615,800.944.2432,,"""Salesforce implementation"" | ""Service Cloud""",10-K,2026-02-05,"Greenville, SC",SC,,SCSC,0630,6 LOGUE COURT
"DIH HOLDING US, INC.",,,1883788,Oracle,7,Surgical & Medical Instruments & Apparatus,3841,<br>Emerging growth company,NORWELL,MA,02061,877-944-2200,,"""Oracle ERP"" | ""Oracle system""",10-K,2025-10-20,"San Francisco, CA",CA,E9,,0331,"77 ACCORD PARK DRIVE, SUITE D-1"
ACCURAY INC,ARAY,Nasdaq,1138723,SAP,6,Surgical & Medical Instruments & Apparatus,3841,Accelerated filer<br>Smaller reporting company,MADISON,WI,53717,608-824-2800,,"""SAP S/4HANA""",10-Q,2026-02-17,"Madison, WI",WI,DE,ARAY,0630,1240 DEMING WAY
"Five9, Inc.",FIVN,Nasdaq,1288847,SAP | Salesforce,6,Services-Computer Processing & Data Preparation,7374,Large accelerated filer,SAN RAMON,CA,94583,9252012000,,"""SAP Ariba"" | ""Sales Cloud""",10-K,2026-02-20,"San Ramon, CA",CA,DE,FIVN,1231,3001 BISHOP DRIVE
"CALIX, INC",CALX,NYSE,1406666,Salesforce,6,"Communications Services, NEC",4899,Large accelerated filer,SAN JOSE,CA,95117,408-514-3000,,"""Service Cloud""",10-K,2026-02-20,"San Jose, CA",CA,,CALX,1231,"3155 OLSEN DRIVE, SUITE 450"
JRSIS HEALTH CARE Corp,JRSS,OTC,1597892,Salesforce,6,Services-Hospitals,8060,Non-accelerated filer<br>Smaller reporting company,"WUGUISHAN, ZHONGSHAN CITY",F4,528458,0760-88963658,,"""Service Cloud""",10-Q,2024-12-20,"Wuguishan, Zhongshan City, F4",F4,FL,JRSS,1231,"3/F BUILDING A, DERUN YUAN"
"Asana, Inc.",ASAN,NYSE,1477720,Salesforce,6,Services-Prepackaged Software,7372,Large accelerated filer,SAN FRANCISCO,CA,94107,(415) 525-3888,,"""MuleSoft"" | ""Slack"" AND ""Salesforce""",10-K,2024-03-14,"San Francisco, CA",CA,DE,ASAN,0131,633 FOLSOM STREET
IDT CORP,IDT,NYSE,1005731,Salesforce,6,Telephone Communications (No Radiotelephone),4813,Large accelerated filer,NEWARK,NJ,07102,973 438 1000,,"""Slack"" AND ""Salesforce""",10-K,2025-09-29,"Newark, NJ",NJ,DE,IDT,0731,520 BROAD ST
"Okta, Inc.",OKTA,Nasdaq,1660134,Salesforce,6,Services-Prepackaged Software,7372,Large accelerated filer,SAN FRANCISCO,CA,94105,888-722-7871,,"""Slack"" AND ""Salesforce""",10-K,2025-03-05,"San Francisco, CA",CA,DE,OKTA,0131,100 FIRST STREET
"VMWARE, INC.",,,1124610,Oracle,6,Services-Prepackaged Software,7372,Large accelerated filer,PALO ALTO,CA,94304,(650) 427-5000,,"""Oracle Cloud""",10-K,2023-09-07,"Palo Alto, CA",CA,DE,,0202,3401 HILLVIEW AVENUE
"Mastech Digital, Inc.",MHH,NYSE,1437226,Oracle,6,Services-Management Consulting Services,8742,Non-accelerated filer<br>Smaller reporting company,MOON TOWNSHIP,PA,15108,412-787-2100,,"""Oracle Cloud""",10-Q,2023-11-13,"Moon Township, PA",PA,PA,MHH,1231,1305 CHERRINGTON PARKWAY
"DigitalOcean Holdings, Inc.",DOCN,NYSE,1582961,Oracle,6,"Services-Computer Programming, Data Processing, Etc.",7370,Large accelerated filer,BROOMFIELD,CO,80021,6468274366,,"""Oracle Cloud""",10-K,2026-02-24,"Broomfield, CO",CO,DE,DOCN,1231,105 EDGEVIEW DRIVE
"Nutanix, Inc.",NTNX,Nasdaq,1618732,Oracle,6,Services-Prepackaged Software,7372,Large accelerated filer,SAN JOSE,CA,95110,408-216-8360,,"""Oracle Cloud""",10-K,2025-09-24,"San Jose, CA",CA,DE,NTNX,0731,1740 TECHNOLOGY DRIVE
Absci Corp,ABSI,Nasdaq,1672688,Oracle,6,Services-Commercial Physical & Biological Research,8731,Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company,VANCOUVER,WA,98683,(360) 949-1041,,"""Oracle Cloud""",10-Q,2025-11-12,"Vancouver, WA",WA,,ABSI,1231,18105 SE MILL PLAIN BLVD
"Stran & Company, Inc.",SWAG,"Nasdaq,Nasdaq",1872525,SAP,5,Services-Advertising Agencies,7311,<br>Emerging growth company,QUINCY,MA,02171,8008333309,,"""SAP ERP""",10-K,2026-03-25,"Quincy, MA",MA,NV,"SWAG,SWAGW",1231,2 HERITAGE DRIVE
FMC CORP,FMC,NYSE,37785,SAP,5,Chemicals & Allied Products,2800,Large accelerated filer,PHILADELPHIA,PA,19104,215-299-6668,,"""SAP system""",10-K,2024-02-27,"Philadelphia, PA",PA,DE,FMC,1231,2929 WALNUT STREET
"Alight, Inc. / Delaware",ALIT,NYSE,1809104,SAP,5,"Services-Business Services, NEC",7389,Large accelerated filer,CHICAGO,IL,60606,(224) 737-7000,,"""SAP SuccessFactors""",10-K,2024-02-29,"Lincolnshire, IL",IL,DE,ALIT,1231,320 SOUTH CANAL STREET
WATTS WATER TECHNOLOGIES INC,WTS,NYSE,795403,SAP,4,Miscellaneous Fabricated Metal Products,3490,Large accelerated filer,NORTH ANDOVER,MA,01845,9786881811,,"""SAP ERP"" | ""SAP enterprise""",10-K,2026-02-23,"North Andover, MA",MA,DE,WTS,1231,815 CHESTNUT ST
"Fossil Group, Inc.",FOSL,Nasdaq,883569,SAP,4,"Watches, Clocks, Clockwork Operated Devices/Parts",3873,Accelerated filer<br>Smaller reporting company,RICHARDSON,TX,75080,9722342525,,"""SAP ERP""",10-K,2026-03-12,"Richardson, TX",TX,DE,FOSL,1231,901 S CENTRAL EXPRESSWAY
IEH Corp,IEHC,OTC,50292,SAP,4,Electronic Connectors,3678,Non-accelerated filer<br>Smaller reporting company,BROOKLYN,NY,11220,7184924440,,"""SAP system""",10-K,2025-06-12,"Brooklyn, NY",NY,NY,IEHC,0331,140 58TH ST BLDG B UNIT 8E
Trulieve Cannabis Corp.,TCNNF,OTC,1754195,SAP,4,Medicinal Chemicals & Botanical Products,2833,Large accelerated filer,TALLAHASSEE,FL,32312,8502988866,,"""SAP system"" | ""SAP implementation""",10-K/A,2023-04-05,"Quincy, FL",FL,A1,TCNNF,1231,3494 MARTIN HURST ROAD
NEOGEN CORP,NEOG,Nasdaq,711377,SAP,4,In Vitro & In Vivo Diagnostic Substances,2835,Large accelerated filer,LANSING,MI,48912,5173729200,,"""SAP enterprise"" | ""SAP implementation""",10-K,2025-07-30,"Lansing, MI",MI,MI,NEOG,0531,620 LESHER PLACE
"Global Business Travel Group, Inc.",GBTG,NYSE,1820872,SAP,4,Transportation Services,4700,Accelerated filer,NEW YORK,NY,10017,212-329-7200,,"""SAP Concur""",10-K,2026-03-09,"New York, NY",NY,DE,GBTG,1231,666 THIRD AVENUE
"AvidXchange Holdings, Inc.",AVDX,,1858257,SAP,4,Services-Prepackaged Software,7372,Large accelerated filer,CHARLOTTE,NC,28206,8005609305,,"""SAP Concur""",10-Q,2023-11-09,"Charlotte, NC",NC,DE,AVDX,1231,1210 AVIDXCHANGE LANE
MOMENTIVE GLOBAL INC.,,,1739936,Salesforce,4,"Services-Computer Programming, Data Processing, Etc.",7370,Large accelerated filer,SAN MATEO,CA,94403,650-543-8400,,"""Salesforce CRM"" | ""Salesforce integration"" | ""Slack"" AND ""Salesforce""",10-K,2023-02-17,"San Mateo, CA",CA,DE,,1231,ONE CURIOSITY WAY
Pineapple Financial Inc.,PAPL,NYSE,1938109,Salesforce,4,Finance Services,6199,<br>Emerging growth company,NORTH YORK,,M2H3R1,416-371-0835,,"""Salesforce platform"" | ""Salesforce system"" | ""Salesforce software""",10-K,2025-12-03,North York,,A1,PAPL,,"111 GORDON BAKER ROAD, SUITE 200"
ZoomInfo Technologies Inc.,GTM,Nasdaq,1794515,Salesforce,4,Services-Prepackaged Software,7372,Large accelerated filer,VANCOUVER,WA,98660,800-914-1220,,"""Sales Cloud""",10-K,2026-02-12,"Vancouver, WA",WA,DE,GTM,1231,330 W COLUMBIA WAY
Palantir Technologies Inc.,PLTR,Nasdaq,1321655,Salesforce,4,Services-Prepackaged Software,7372,Large accelerated filer,AVENTURA,FL,33180,720-358-3679,,"""Sales Cloud""",10-K,2026-02-17,"Denver, CO",CO,,PLTR,1231,19505 BISCAYNE BOULEVARD
"KonaTel, Inc.",KTEL,OTC,845819,Salesforce,4,"Communications Services, NEC",4899,Non-accelerated filer<br>Smaller reporting company,PLANO,TX,75074,(214) 323-8410,,"""Service Cloud""",10-Q,2024-04-01,"Plano, TX",TX,,KTEL,1231,"500 N. CENTRAL EXPRESSWAY, SUITE 202"
Applied Digital Corp.,APLD,Nasdaq,1144879,Salesforce,4,Services-Computer Processing & Data Preparation,7374,Large accelerated filer,DALLAS,TX,75219,214-556-2465,,"""Service Cloud""",10-Q,2024-01-16,"Dallas, TX",TX,NV,APLD,0531,"3811 TURTLE CREEK BLVD., SUITE 2100"
"Charge Enterprises, Inc.",,,1277250,Salesforce,4,Telegraph & Other Message Communications,4822,<br>Emerging growth company,NEW YORK,NY,10017,917-268-0660,,"""Service Cloud""",10-Q,2023-11-08,"New York, NY",NY,DE,,1231,"125 PARK AVENUE, 25TH FLOOR"
Energous Corp,WATT,Nasdaq,1575793,Salesforce,4,Radio & Tv Broadcasting & Communications Equipment,3663,Non-accelerated filer<br>Smaller reporting company,SAN JOSE,CA,95134,(408) 963-0200,,"""Service Cloud""",10-K,2024-03-28,"San Jose, CA",CA,DE,WATT,1231,3590 NORTH FIRST STREET
LIQUIDITY SERVICES INC,LQDT,Nasdaq,1235468,Salesforce | Oracle,4,"Services-Business Services, NEC",7389,Large accelerated filer,BETHESDA,MD,20814,2024676868,,"""MuleSoft"" | ""Oracle Fusion""",10-K,2024-12-12,"Bethesda, MD",MD,DE,LQDT,0930,6931 ARLINGTON ROAD
Genesis Growth Tech Acquisition Corp.,GGAAF,,1865697,Salesforce,4,Blank Checks,6770,Non-accelerated filer<br>Emerging growth company,ZUG,V8,6303,41-78-607-9901,,"""Slack"" AND ""Salesforce""",10-K,2024-03-06,"Zug, V8",V8,E9,,1231,6 GENERAL-GUISAN-STRASSE
SMARTSHEET INC,SMAR,,1366561,Salesforce,4,Services-Prepackaged Software,7372,Large accelerated filer,BELLEVUE,WA,98004,844-324-2360,,"""Slack"" AND ""Salesforce""",10-K,2024-03-20,"Bellevue, WA",WA,WA,,0131,500 108TH AVE NE
MICROSOFT CORP,MSFT,Nasdaq,789019,Salesforce,4,Services-Prepackaged Software,7372,Large accelerated filer,REDMOND,WA,98052-6399,425-882-8080,,"""Slack"" AND ""Salesforce""",10-K,2024-07-30,"Redmond, WA",WA,WA,MSFT,1231,ONE MICROSOFT WAY
Asset Entities Inc.,ASST,"Nasdaq,Nasdaq",1920406,Salesforce,4,Finance Services,7372,Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company,DALLAS,TX,,855-427-7360,,"""Slack"" AND ""Salesforce""",10-K,2025-03-31,"Dallas, TX",TX,NV,"ASST,SATA",1231,200 CRESCENT CT
"PagerDuty, Inc.",PD,NYSE,1568100,Salesforce,4,Services-Prepackaged Software,7372,Large accelerated filer,SAN FRANCISCO,CA,94103,(844) 800-3889,,"""Slack"" AND ""Salesforce""",10-K,2026-03-12,"San Francisco, CA",CA,DE,PD,0131,600 TOWNSEND STREET #200
KLDiscovery Inc.,,,1752474,Salesforce,4,"Services-Computer Programming, Data Processing, Etc.",7370,<br>Emerging growth company,EDEN PRAIRIE,MN,55347,703-288-3380,,"""Slack"" AND ""Salesforce""",10-K,2024-03-28,"Eden Prairie, MN",MN,DE,,1231,9023 COLUMBINE ROAD
"Crexendo, Inc.",CXDO,Nasdaq,1075736,Oracle,4,Telephone Communications (No Radiotelephone),4813,Non-accelerated filer<br>Smaller reporting company,TEMPE,AZ,85288,8012270004,,"""Oracle Cloud""",10-K,2026-03-03,"Tempe, AZ",AZ,DE,CXDO,1231,1225 W. WASHINGTON ST.
UNIFIRST CORP,UNF,NYSE,717954,Oracle,4,Services-Personal Services,7200,Large accelerated filer,WILMINGTON,MA,01887,(978) 658-8888,,"""Oracle Cloud""",10-Q,2026-01-07,"Wilmington, MA",MA,MA,UNF,0829,68 JONSPIN RD
J M SMUCKER Co,SJM,NYSE,91419,Oracle,4,"Canned, Fruits, Veg, Preserves, Jams & Jellies",2033,Large accelerated filer,ORRVILLE,OH,44667,3306823000,,"""Oracle Cloud""",10-Q,2025-08-27,"Orrville, OH",OH,OH,SJM,0430,ONE STRAWBERRY LANE
OneMeta Inc.,ONEI,OTC,1388295,Oracle,4,Services-Computer Processing & Data Preparation,7374,<br>Emerging growth company,"NEWPORT BEACH,",CA,92660,949-642-7816,,"""Oracle Cloud""",10-K,2025-03-06,"Newport Beach, CA",CA,NV,ONEI,1231,1 HAMPSHIRE COURT
ManpowerGroup Inc.,MAN,NYSE,871763,Oracle,4,Services-Help Supply Services,7363,Large accelerated filer,MILWAUKEE,WI,53212,414 961-1000,,"""Oracle Cloud""",10-Q,2026-02-23,"Milwaukee, WI",WI,WI,MAN,1231,100 MANPOWER PLACE
Claritev Corp,CTEV,NYSE,1793229,Oracle,4,"Services-Business Services, NEC",7389,Accelerated filer,MCLEAN,VA,22102,212-780-2000,,"""Oracle Cloud""",10-K,2026-02-26,"Mclean, VA",VA,DE,CTEV,1231,7900 TYSONS ONE PLACE
TERADATA CORP /DE/,TDC,NYSE,816761,Oracle,4,Services-Prepackaged Software,7372,Large accelerated filer,SAN DIEGO,CA,92127,866-548-8348,,"""Oracle Cloud""",10-K,2026-02-27,"San Diego, CA",CA,,TDC,1231,17095 VIA DEL CAMPO
