company_name,ticker,cik,sic_description,sic,address_city,address_state,phone,website,filing_count,sap_keywords_found,filing_type,filed_date,biz_location,biz_state,inc_state,all_tickers,exchanges,fiscal_year_end,category,address_street,address_zip
"CF Industries Holdings, Inc.",CF,1324404,Agricultural Chemicals,2870,NORTHBROOK,IL,(847) 405-2400,,2,"""SAP S/4HANA""",10-Q,2023-05-02,"Deerfield, IL",IL,DE,CF,NYSE,1231,Large accelerated filer,2375 WATERVIEW DRIVE,60062
"Delek US Holdings, Inc.",DK,1694426,Petroleum Refining,2911,BRENTWOOD,TN,615-771-6701,,2,"""SAP S/4HANA""",10-K,2024-02-28,"Brentwood, TN",TN,DE,DK,NYSE,1231,Large accelerated filer,310 SEVEN SPRINGS WAY,37027
Evoke Pharma Inc,EVOK,1403708,Pharmaceutical Preparations,2834,SOLANA BEACH,CA,858-345-1494,,2,"""SAP system""",10-K/A,2024-05-14,"Solana Beach, CA",CA,DE,EVOK,Nasdaq,1231,Non-accelerated filer<br>Smaller reporting company,420 STEVENS AVENUE,92075
Healthcare Integrated Technologies Inc.,HITC,1584693,Services-Amusement & Recreation Services,7900,KNOXVILLE,TN,865-237-4448,,2,"""SAP system""",10-K,2024-10-29,"Knoxville, TN",TN,NV,SSGC,OTC,0731,Non-accelerated filer<br>Smaller reporting company,311 S. WEISGARBER ROAD,37919
"Centuri Holdings, Inc.",CTRI,1981599,Natural Gas Transmisison & Distribution,4923,PHOENIX,AZ,(623) 582-1235,,2,"""SAP system""",10-K,2025-02-26,"Phoenix, AZ",AZ,DE,CTRI,NYSE,1228,Large accelerated filer,19820 NORTH 7TH AVENUE SUITE 120,85027
Solventum Corp,SOLV,1964738,Surgical & Medical Instruments & Apparatus,3841,EAGAN,MN,651-733-1110,,2,"""SAP enterprise""",10-Q,2025-11-06,"St. Paul, MN",MN,DE,SOLV,NYSE,1231,Large accelerated filer,1750 YANKEE DOODLE ROAD,55121
ENTEGRIS INC,ENTG,1101302,"Plastics Products, NEC",3089,BILLERICA,MA,9784366500,,2,"""SAP enterprise""",10-Q,2023-11-02,"Billerica, MA",MA,DE,ENTG,Nasdaq,1231,Large accelerated filer,129 CONCORD ROAD,01821
Two Hands Corp,TWOH,1494413,"Services-Business Services, NEC",7389,LOCUST VALLEY,NY,516-384-2577,,2,"""SAP enterprise""",10-K,2024-04-01,"North York, A6",A6,DE,TWOH,OTC,1231,Non-accelerated filer<br>Smaller reporting company,141 PIPING ROCK ROAD,11560
Monster Beverage Corp,MNST,865752,Bottled & Canned Soft Drinks & Carbonated Waters,2086,CORONA,CA,909-739-6200,,2,"""SAP enterprise""",10-K,2024-02-29,"Corona, CA",CA,,MNST,Nasdaq,1231,Large accelerated filer,1 MONSTER WAY,92879
Univar Solutions Inc.,,1494319,Wholesale-Chemicals & Allied Products,5160,DOWNERS GROVE,IL,331-777-6000,,2,"""SAP implementation""",10-Q,2023-07-31,"Downers Grove, IL",IL,DE,,,1231,Large accelerated filer,3075 HIGHLAND PARKWAY,60515
ALBANY INTERNATIONAL CORP /DE/,AIN,819793,"Broadwoven Fabric Mills, Man Made Fiber & Silk",2221,ROCHESTER,NH,6033305850,,2,"""SAP platform""",10-Q,2024-10-30,"Rochester, NH",NH,DE,AIN,NYSE,1231,Large accelerated filer,216 AIRPORT DRIVE,03867
NIQ Global Intelligence plc,NIQ,2054696,"Services-Computer Programming, Data Processing, Etc.",7370,CHICAGO,IL,312-583-5100,,2,"""SAP platform""",10-Q,2025-11-13,"Chicago, IL",IL,L2,NIQ,NYSE,1231,Non-accelerated filer,200 WEST JACKSON BOULEVARD,60606
"NETGEAR, INC.",NTGR,1122904,Telephone & Telegraph Apparatus,3661,SAN JOSE,CA,4089078000,,2,"""SAP SuccessFactors""",10-K,2024-02-16,"San Jose, CA",CA,DE,NTGR,Nasdaq,1231,Large accelerated filer,3553 N. FIRST STREET,95134
Sterling Check Corp.,STER,1645070,Services-Computer Processing & Data Preparation,7374,INDEPENDENCE,OH,19175485241,,2,"""SAP SuccessFactors""",10-K,2024-03-06,"New York, NY",NY,DE,,,1231,<br>Emerging growth company,STERLING CHECKCORP INC.,44131
BENTLEY SYSTEMS INC,BSY,1031308,Services-Prepackaged Software,7372,EXTON,PA,6104585000,,2,"""SAP Ariba""",10-K,2026-02-26,"Exton, PA",PA,DE,BSY,Nasdaq,1231,Large accelerated filer,685 STOCKTON DRIVE,19341
"CommScope Holding Company, Inc.",COMM,1517228,Radio & Tv Broadcasting & Communications Equipment,3663,RICHARDSON,TX,828-459-5000,,1,"""SAP S/4HANA""",10-Q,2023-11-09,"Claremont, NC",NC,DE,VISN,Nasdaq,1231,Large accelerated filer,2601 TELECOM PARKWAY,75082
BELDEN INC.,BDC,913142,Drawing & Insulating of  Nonferrous Wire,3357,ST. LOUIS,MO,314-854-8000,,1,"""SAP S/4HANA""",10-K,2026-02-17,"St. Louis, MO",MO,DE,BDC,NYSE,1231,Large accelerated filer,1 NORTH BRENTWOOD BLVD,63105
DAVEY TREE EXPERT CO,,277638,Agricultural Services,0700,KENT,OH,3306739511,,1,"""SAP S/4HANA""",10-K,2023-03-16,"Kent, OH",OH,OH,,,1231,Non-accelerated filer,1500 N MANTUA ST,44240-5193
INTERNATIONAL BUSINESS MACHINES CORP,IBM,51143,Computer & office Equipment,3570,ARMONK,NY,9144991900,,1,"""SAP HANA""",10-Q,2024-07-30,"Armonk, NY",NY,NY,IBM,NYSE,1231,Large accelerated filer,1 NEW ORCHARD ROAD,10504
"Rubrik, Inc.",RBRK,1943896,Services-Prepackaged Software,7372,PALO ALTO,CA,8444782745,,1,"""SAP HANA""",10-K,2025-03-20,"Palo Alto, CA",CA,DE,RBRK,NYSE,0131,Large accelerated filer,3495 DEER CREEK ROAD,94304
"Rackspace Technology, Inc.",RXT,1810019,"Services-Computer Programming, Data Processing, Etc.",7370,SAN ANTONIO,TX,1-800-961-4454,,1,"""SAP HANA""",10-K,2023-03-16,"San Antonio, TX",TX,DE,RXT,Nasdaq,1231,Accelerated filer<br>Smaller reporting company,19122 US HIGHWAY 281N,78258-7667
ALBEMARLE CORP,ALB,915913,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",2821,CHARLOTTE,NC,980-299-5700,,1,"""SAP system""",10-K,2024-02-15,"Charlotte, NC",NC,VA,"ALB,ALB-PA","NYSE,NYSE",1231,Large accelerated filer,4250 CONGRESS STREET,28209
"Merck & Co., Inc.",MRK,310158,Pharmaceutical Preparations,2834,RAHWAY,NJ,908-740-4000,,1,"""SAP system""",10-K,2026-02-24,"Rahway, NJ",NJ,NJ,MRK,NYSE,1231,Large accelerated filer,126 EAST LINCOLN AVENUE,07065
"Kyndryl Holdings, Inc.",KD,1867072,Services-Computer Integrated Systems Design,7373,NEW YORK,NY,(855) 596-3795,,1,"""SAP enterprise""",10-Q,2023-08-08,"New York, NY",NY,DE,KD,NYSE,0331,Large accelerated filer,ONE VANDERBILT AVENUE,10017
MERCADOLIBRE INC,MELI,1099590,"Services-Business Services, NEC",7389,MONTEVIDEO,X3,598-2-2927-2770,,1,"""SAP enterprise""",10-Q,2024-05-03,"Montevideo, X3",X3,,MELI,Nasdaq,1231,Large accelerated filer,DR. LUIS BONAVITA 1294 OF. 1733 TOWER II,11300
Hanesbrands Inc.,HBI,1359841,Retail-Apparel & Accessory Stores,5600,WINSTON-SALEM,NC,(336) 519-8080,,1,"""SAP enterprise""",10-K,2024-02-16,"Winston-salem, NC",NC,MD,,,0103,Large accelerated filer,101 NORTH CHERRY STREET,27101
Mount Logan Capital Inc.,MLCI,2051820,Investment Advice,6282,NEW YORK,NY,(212) 486-6333,,1,"""SAP enterprise""",10-K,2026-03-19,"New York, NY",NY,DE,"MLCI,MLCIL","Nasdaq,Nasdaq",1231,Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company,650 MADISON AVE.,10022
MP Materials Corp. / DE,MP,1801368,Metal Mining,1000,LAS VEGAS,NV,(702) 844-6111,,1,"""SAP implementation""",10-K,2023-02-28,"Las Vegas, NV",NV,DE,MP,NYSE,1231,Large accelerated filer,1700 S. PAVILION CENTER DR.,89135
BRB Foods Inc.,BRBF,1976870,Food and Kindred Products,2000,DOVER,DE,55 11 4040-5766,,1,"""SAP Business One""",10-Q,2025-12-12,"Dover, DE",DE,DE,BRBF,,1231,Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company,8 THE GREEN STE #3,19901
Akerna Corp.,GRYP,1755953,Finance Services,7374,MIAMI,FL,(305) 224 6427,,1,"""SAP Business One""",10-K,2023-03-21,"Denver, CO",CO,,ABTC,Nasdaq,1231,Non-accelerated filer<br>Smaller reporting company,1101 BRICKELL AVENUE,33131
HireRight Holdings Corp,,1859285,"Services-Business Services, NEC",7389,NASHVILLE,TN,615-320-9800,,1,"""SAP SuccessFactors""",10-K/A,2024-04-17,"Nashville, TN",TN,DE,,,1231,<br>Emerging growth company,100 CENTERVIEW DRIVE,37214
"Cannae Holdings, Inc.",CNNE,1704720,Retail-Eating & Drinking Places,5810,LAS VEGAS,NV,702-323-7334,,1,"""SAP SuccessFactors""",10-K,2024-02-29,"Las Vegas, NV",NV,DE,CNNE,NYSE,1231,Large accelerated filer,"C/O CANNAE HOLDINGS, INC.",89134
Skillsoft Corp.,SKIL,1774675,Services-Prepackaged Software,7372,NASHUA,NH,603-821-3902,,1,"""SAP SuccessFactors""",10-K,2025-04-14,"Nashua, NH",NH,DE,"SKIL,SKILW","NYSE,OTC",0131,Accelerated filer<br>Smaller reporting company,300 INNOVATIVE WAY,03062
Qualtrics International Inc.,,1747748,Services-Prepackaged Software,7372,PROVO,UT,385-203-4999,,1,"""SAP SuccessFactors""",10-K,2023-02-24,"Provo, UT",UT,,,,1231,Large accelerated filer,333 WEST RIVER PARK DRIVE,84604
ODP Corp,ODP,800240,Retail-Miscellaneous Shopping Goods Stores,5940,BOCA RATON,FL,561-438-4800,,1,"""SAP Ariba""",10-Q,2023-08-09,"Boca Raton, FL",FL,DE,,,1228,Large accelerated filer,6600 NORTH MILITARY TRAIL,33496
Allegiant Travel CO,ALGT,1362468,"Air Transportation, Scheduled",4512,LAS VEGAS,NV,702-851-7300,,1,"""SAP Ariba""",10-K,2024-02-29,"Las Vegas, NV",NV,NV,ALGT,Nasdaq,1231,Large accelerated filer,1201 N. TOWN CENTER DRIVE,89144
Ethos Technologies Inc.,LIFE,1788451,"Insurance Agents, Brokers & Service",6411,AUSTIN,TX,(415) 915-0665,,1,"""SAP Ariba""",10-K,2026-03-17,"Austin, TX",TX,DE,LIFE,Nasdaq,1231,Non-accelerated filer<br>Emerging growth company,1606 HEADWAY CIRCLE,78754
Waystar Holding Corp.,WAY,1990354,Services-Computer Integrated Systems Design,7373,LEHI,UT,844-492-9782,,1,"""SAP Ariba""",10-K,2025-02-18,"Lehi, UT",UT,DE,WAY,Nasdaq,1231,Large accelerated filer,"1550 DIGITAL DRIVE, #300",84043
WNS,WNS,1356570,"Services-Business Services, NEC",7389,MUMBAI,,918657454791,,1,"""SAP Ariba""",10-K,2025-05-13,"Mumbai, K7",K7,XX,WNS,,0331,Large accelerated filer,"GATE 4, GODREJ & BOYCE COMPLEX",400079
"Navan, Inc.",NAVN,1639723,Services-Prepackaged Software,7372,PALO ALTO,CA,650-988-8500,,1,"""SAP Concur""",10-Q,2025-12-15,"Palo Alto, CA",CA,DE,NAVN,Nasdaq,0131,<br>Emerging growth company,3045 PARK BOULEVARD,94306
AMERICAN EXPRESS CO,AXP,4962,Finance Services,6199,NEW YORK,NY,2126402000,,1,"""SAP Concur""",10-K,2026-02-06,"New York, NY",NY,NY,AXP,NYSE,1231,Large accelerated filer,200 VESEY STREET,10285
